,subregion_id,plotname,region,location_y,location_x,countdate,year,countdate_cluster,year_cluster,dem250,plot_nr,plot_name,elevation,plotweight,cov1,ASW,BFMON,BGER,BHE,BPIG,BST,CAT,CC,CURR,EWB,FTCUC,FW,GFAN,GHE,GHR,GOLDBB,GOLDW,LBSW,LEWHE,LST,MACHE,MTB,MTHORN,OFSF,PYR,RFAN,RL,SATBB,SBCUC,SBL,SCC,SD,SFD,SMON,TBBB,VRIF,VT,WOMP,WTTC,YBBB,YSHE,YTSW,site
1203,AU,AU4A,WT,-17.60929842,145.7664095,25-Feb-16,2016,1/01/2003,4,364,400,WT400,lowland,1,1,0,0,0,0,2,NA,5,2,0,0,0,0,0,3,0,NA,0,1,0,2,2,0,NA,1,0,0,0,NA,0,0,2,0,2,,NA,1,0,1,0,2,3,0,AU400
1207,AU,AU4A,WT,-17.60834065,145.7678862,30-Jan-04,2004,1/01/2001,2,296,400,WT400,lowland,1,1,0,0,0,0,0,NA,1,0,1,0,0,0,0,1,1,NA,0,0,0,2,0,0,NA,0,0,0,0,NA,0,0,2,0,2,2,NA,1,0,1,0,0,1,0,AU400
1208,AU,AU4A,WT,-17.60834065,145.7678862,15-Apr-04,2004,1/01/2001,2,296,400,WT400,lowland,1,1,0,0,7,0,0,NA,0,1,0,0,0,0,0,6,0,NA,0,0,0,3,3,0,NA,0,0,0,0,NA,0,0,0,0,0,1,NA,0,0,0,0,0,2,0,AU400
1209,AU,AU4A,WT,-17.60834065,145.7678862,10-Jul-04,2004,1/01/2001,2,296,400,WT400,lowland,1,1,0,0,8,0,6,NA,1,3,0,3,0,0,4,5,1,NA,0,3,0,2,0,1,NA,0,0,0,0,NA,0,0,2,0,1,2,NA,2,0,6,0,3,6,0,AU400
1210,AU,AU4A,WT,-17.60834065,145.7678862,8-Oct-04,2004,1/01/2001,2,296,400,WT400,lowland,1,1,0,1,5,0,0,NA,6,1,0,2,0,0,0,3,1,NA,0,2,0,5,3,0,NA,0,0,0,0,NA,0,0,0,0,2,2,NA,1,0,1,1,0,5,0,AU400
1211,AU,AU4A,WT,-17.60834065,145.7678862,5-Feb-05,2005,1/01/2001,2,296,400,WT400,lowland,1,1,0,3,2,0,0,NA,4,2,0,4,0,0,0,3,2,NA,0,1,0,4,2,0,NA,0,0,0,0,NA,0,0,1,0,3,3,NA,4,0,2,0,2,2,0,AU400
1212,AU,AU4A,WT,-17.60834065,145.7678862,12-Nov-05,2005,1/01/2001,2,296,400,WT400,lowland,1,1,0,0,2,0,1,NA,3,1,1,1,0,0,0,3,3,NA,0,0,0,3,0,1,NA,1,0,0,0,NA,0,0,0,0,2,0,NA,2,0,3,0,0,4,0,AU400
1213,AU,AU4A,WT,-17.60834065,145.7678862,11-Mar-06,2006,1/01/2001,2,296,400,WT400,lowland,1,1,0,1,0,0,1,NA,3,3,0,0,0,0,0,3,2,NA,0,2,0,3,1,1,NA,0,2,0,1,NA,0,0,,0,1,2,NA,1,0,0,0,0,2,0,AU400
1214,AU,AU4A,WT,-17.60834065,145.7678862,27-Apr-06,2006,1/01/2001,2,296,400,WT400,lowland,1,1,0,0,11,0,2,NA,3,9,2,1,0,0,0,6,2,NA,1,0,0,1,2,0,NA,0,1,0,0,NA,0,0,,0,0,2,NA,1,0,1,0,0,0,0,AU400
1215,AU,AU4A,WT,-17.60834065,145.7678862,24-Mar-07,2007,1/01/2001,2,296,400,WT400,lowland,1,1,0,0,2,0,1,NA,1,2,0,0,0,0,0,1,2,NA,0,0,0,4,3,0,NA,0,0,0,0,NA,0,0,2,0,0,2,NA,0,3,0,0,0,1,0,AU400
1216,AU,AU4A,WT,-17.60834065,145.7678862,16-Jun-07,2007,1/01/2001,2,296,400,WT400,lowland,1,1,0,0,4,0,0,NA,0,1,0,5,0,1,1,5,2,NA,1,3,0,3,0,2,NA,0,4,0,0,NA,0,0,1,0,0,2,NA,2,0,0,0,2,1,0,AU400
1217,AU,AU4A,WT,-17.60834065,145.7678862,16-Jun-07,2007,1/01/2001,2,296,400,WT400,lowland,1,1,0,0,1,0,0,NA,0,1,0,1,0,1,1,4,2,NA,0,2,0,3,0,3,NA,0,0,2,0,NA,0,0,0,0,0,1,NA,1,0,0,0,0,2,0,AU400
1218,AU,AU4A,WT,-17.60834065,145.7678862,26-Oct-07,2007,1/01/2001,2,296,400,WT400,lowland,1,1,0,2,1,0,1,NA,1,0,0,2,0,0,0,6,0,NA,0,1,0,2,2,0,NA,0,0,0,0,NA,0,0,1,0,0,3,NA,2,0,5,0,0,3,0,AU400
1219,AU,AU4A,WT,-17.60834065,145.7678862,1-Apr-08,2008,1/01/2002,3,296,400,WT400,lowland,1,1,0,0,3,0,0,NA,0,1,0,0,0,0,0,3,2,NA,0,0,0,5,1,0,NA,0,1,0,0,NA,0,0,0,0,0,1,NA,2,0,0,0,1,3,0,AU400
1220,AU,AU4A,WT,-17.60834065,145.7678862,14-Jun-08,2008,1/01/2002,3,296,400,WT400,lowland,1,1,0,1,4,0,1,NA,2,0,0,0,0,0,4,3,2,NA,1,0,0,3,1,4,NA,0,0,0,0,NA,0,0,0,0,0,2,NA,1,0,0,0,0,2,0,AU400
1221,AU,AU4A,WT,-17.60834065,145.7678862,18-Oct-08,2008,1/01/2002,3,296,400,WT400,lowland,1,1,0,1,1,0,0,NA,0,0,0,0,0,0,0,3,0,NA,1,3,0,0,0,1,NA,0,0,0,2,NA,0,0,0,0,1,3,NA,0,0,2,0,0,1,0,AU400
1222,AU,AU4A,WT,-17.60834065,145.7678862,27-Mar-09,2009,1/01/2002,3,296,400,WT400,lowland,1,1,0,0,0,0,1,NA,0,1,0,3,0,0,0,5,1,NA,0,0,0,0,2,1,NA,1,2,0,0,NA,0,0,0,2,0,3,NA,0,1,0,0,0,3,0,AU400
1223,AU,AU4A,WT,-17.60834065,145.7678862,19-Jun-09,2009,1/01/2002,3,296,400,WT400,lowland,1,1,0,0,0,0,3,NA,1,0,0,3,0,0,2,5,0,NA,0,0,0,2,1,0,NA,0,0,0,0,NA,0,0,2,1,0,4,NA,1,0,0,0,0,2,0,AU400
1224,AU,AU4A,WT,-17.60834065,145.7678862,15-Jun-10,2010,1/01/2002,3,296,400,WT400,lowland,1,1,0,0,2,0,4,NA,0,2,0,3,0,0,1,2,0,NA,0,0,0,2,1,1,NA,0,1,0,0,NA,0,0,1,0,0,1,NA,0,0,0,0,0,2,0,AU400
1225,AU,AU4A,WT,-17.60834065,145.7678862,11-Oct-10,2010,1/01/2002,3,296,400,WT400,lowland,1,1,0,0,2,0,2,NA,2,1,0,4,0,0,0,1,0,NA,0,0,0,3,2,0,NA,1,0,0,0,NA,0,0,3,0,2,4,NA,1,1,3,1,1,2,0,AU400
1226,AU,AU4A,WT,-17.60834065,145.7678862,16-Jan-12,2012,1/01/2003,4,296,400,WT400,lowland,1,1,0,0,0,0,2,NA,0,4,1,0,0,0,0,1,0,NA,0,0,0,0,0,0,NA,3,0,0,0,NA,0,0,2,0,3,1,NA,0,0,0,0,0,2,0,AU400
1227,AU,AU4A,WT,-17.60834065,145.7678862,6-Aug-12,2012,1/01/2003,4,296,400,WT400,lowland,1,1,0,1,0,2,4,NA,2,0,0,3,1,1,1,6,2,NA,0,0,0,3,3,1,NA,2,0,2,0,NA,0,0,1,0,3,4,NA,1,2,1,0,1,4,0,AU400
1228,AU,AU4A,WT,-17.60834065,145.7678862,11-Mar-13,2013,1/01/2003,4,296,400,WT400,lowland,1,1,0,0,0,0,0,NA,1,2,0,2,0,0,0,3,1,NA,0,1,0,4,0,0,NA,2,0,0,0,NA,0,0,0,0,2,3,NA,2,0,0,0,0,3,0,AU400
1229,AU,AU4A,WT,-17.60834065,145.7678862,11-Mar-13,2013,1/01/2003,4,296,400,WT400,lowland,1,1,0,0,0,0,1,NA,1,1,0,2,0,0,0,4,1,NA,0,3,0,0,1,1,NA,1,0,0,0,NA,0,0,0,0,2,2,NA,0,0,0,0,2,3,0,AU400
1230,AU,AU4A,WT,-17.60834065,145.7678862,10-Jun-14,2014,1/01/2003,4,296,400,WT400,lowland,1,1,0,0,1,0,1,NA,1,7,0,4,0,0,1,3,2,NA,0,4,0,3,1,1,NA,0,0,0,0,NA,0,0,0,0,0,2,NA,0,0,0,0,1,4,0,AU400
1233,AU,AU4A,WT,-17.60822594,145.7697811,30-Jan-04,2004,1/01/2001,2,296,400,WT400,lowland,1,1,0,0,8,0,1,NA,6,4,1,2,0,0,0,4,3,NA,1,0,0,3,2,0,NA,0,0,0,0,NA,0,0,5,0,3,2,NA,1,0,4,0,1,1,0,AU400
1234,AU,AU4A,WT,-17.60822594,145.7697811,15-Apr-04,2004,1/01/2001,2,296,400,WT400,lowland,1,1,0,1,9,0,0,NA,1,4,0,4,0,0,0,6,5,NA,2,2,0,3,4,1,NA,1,0,0,0,NA,0,0,0,0,0,3,NA,1,0,0,0,0,4,0,AU400
1235,AU,AU4A,WT,-17.60822594,145.7697811,8-Jul-04,2004,1/01/2001,2,296,400,WT400,lowland,1,1,0,1,9,2,6,NA,5,4,0,1,0,0,1,8,3,NA,0,0,0,1,0,2,NA,0,0,0,0,NA,0,0,1,0,0,0,NA,1,0,6,0,1,2,0,AU400
1236,AU,AU4A,WT,-17.60822594,145.7697811,10-Jul-04,2004,1/01/2001,2,296,400,WT400,lowland,1,1,0,0,4,0,2,NA,4,2,0,3,0,0,2,2,4,NA,1,3,0,1,0,1,NA,0,0,0,0,NA,0,0,1,0,0,1,NA,1,0,3,1,1,4,0,AU400
1237,AU,AU4A,WT,-17.60822594,145.7697811,8-Oct-04,2004,1/01/2001,2,296,400,WT400,lowland,1,1,0,2,6,1,2,NA,3,2,0,3,0,0,0,3,2,NA,2,0,0,6,1,1,NA,0,1,0,0,NA,0,0,1,0,4,3,NA,2,1,3,0,3,2,0,AU400
1238,AU,AU4A,WT,-17.60822594,145.7697811,11-May-05,2005,1/01/2001,2,296,400,WT400,lowland,1,1,0,0,2,0,0,NA,3,4,0,1,0,0,0,5,4,NA,1,1,0,0,3,1,NA,0,1,0,0,NA,0,0,1,0,0,0,NA,0,0,4,0,1,0,0,AU400
1239,AU,AU4A,WT,-17.60822594,145.7697811,13-Nov-05,2005,1/01/2001,2,296,400,WT400,lowland,1,1,0,0,2,0,1,NA,3,2,0,2,0,2,0,1,4,NA,0,1,0,1,0,0,NA,1,0,0,0,NA,0,0,0,0,4,2,NA,1,1,2,0,1,1,0,AU400
1240,AU,AU4A,WT,-17.60822594,145.7697811,25-Mar-07,2007,1/01/2001,2,296,400,WT400,lowland,1,1,0,1,12,0,0,NA,1,3,0,3,1,0,0,0,3,NA,0,3,0,7,2,0,NA,1,0,0,0,NA,0,0,4,0,1,6,NA,3,0,2,0,2,4,0,AU400
1241,AU,AU4A,WT,-17.60822594,145.7697811,17-Jul-07,2007,1/01/2001,2,296,400,WT400,lowland,1,1,0,0,3,0,0,NA,1,1,0,1,0,0,2,4,0,NA,0,1,0,3,0,0,NA,0,0,0,0,NA,1,0,5,0,0,1,NA,0,0,0,0,0,1,0,AU400
1242,AU,AU4A,WT,-17.60822594,145.7697811,28-Oct-07,2007,1/01/2001,2,296,400,WT400,lowland,1,1,0,3,4,0,1,NA,0,0,2,2,0,0,0,5,1,NA,0,0,0,4,2,0,NA,1,0,0,0,NA,0,0,3,0,2,2,NA,3,0,3,0,0,2,0,AU400
1243,AU,AU4A,WT,-17.60822594,145.7697811,1-Apr-08,2008,1/01/2002,3,296,400,WT400,lowland,1,1,0,0,6,0,0,NA,3,3,1,4,0,0,0,1,1,NA,0,1,0,5,2,0,NA,1,0,0,0,NA,0,0,2,1,0,4,NA,1,0,1,0,1,4,0,AU400
1244,AU,AU4A,WT,-17.60822594,145.7697811,14-Jun-08,2008,1/01/2002,3,296,400,WT400,lowland,1,1,0,2,3,0,1,NA,2,2,0,4,0,0,4,4,2,NA,3,3,0,2,2,0,NA,3,0,1,0,NA,0,0,2,0,2,5,NA,2,1,1,0,2,7,0,AU400
1245,AU,AU4A,WT,-17.60822594,145.7697811,16-Oct-08,2008,1/01/2002,3,296,400,WT400,lowland,1,1,0,1,5,0,0,NA,0,3,0,0,0,0,0,5,0,NA,0,1,0,3,1,2,NA,0,2,0,0,NA,0,0,2,0,3,1,NA,0,1,1,0,1,3,0,AU400
1246,AU,AU4A,WT,-17.60822594,145.7697811,27-Mar-09,2009,1/01/2002,3,296,400,WT400,lowland,1,1,0,0,0,0,2,NA,1,6,0,1,0,0,0,4,0,NA,2,0,0,6,0,1,NA,0,0,0,0,NA,0,0,1,2,0,1,NA,0,0,1,0,2,5,0,AU400
1247,AU,AU4A,WT,-17.60822594,145.7697811,19-Jun-09,2009,1/01/2002,3,296,400,WT400,lowland,1,1,0,0,4,0,2,NA,1,3,0,2,0,0,4,4,1,NA,0,0,0,2,2,0,NA,0,0,0,0,NA,0,0,1,0,0,1,NA,1,0,4,0,0,4,0,AU400
1248,AU,AU4A,WT,-17.60822594,145.7697811,15-Jun-10,2010,1/01/2002,3,296,400,WT400,lowland,1,1,0,0,1,1,6,NA,0,3,0,4,0,0,1,4,1,NA,1,1,0,1,2,2,NA,1,0,0,0,NA,0,0,1,0,1,2,NA,1,0,1,0,0,6,0,AU400
1249,AU,AU4A,WT,-17.60822594,145.7697811,13-Oct-10,2010,1/01/2002,3,296,400,WT400,lowland,1,1,0,0,0,0,4,NA,1,0,0,3,0,0,0,4,0,NA,0,0,0,4,0,0,NA,1,0,0,1,NA,0,0,1,0,2,2,NA,3,1,0,0,2,2,0,AU400
1250,AU,AU4A,WT,-17.60822594,145.7697811,16-Jan-12,2012,1/01/2003,4,296,400,WT400,lowland,1,1,0,0,1,0,1,NA,0,1,0,0,0,0,0,5,0,NA,0,2,0,3,2,1,NA,4,0,0,0,NA,0,0,1,0,1,2,NA,1,1,0,0,0,2,0,AU400
1251,AU,AU4A,WT,-17.60822594,145.7697811,7-Aug-12,2012,1/01/2003,4,296,400,WT400,lowland,1,1,0,0,0,0,1,NA,0,2,2,2,0,0,2,5,0,NA,0,0,0,4,2,0,NA,0,1,0,0,NA,0,0,3,0,0,0,NA,1,0,3,0,1,4,0,AU400
1252,AU,AU4A,WT,-17.60822594,145.7697811,25-Feb-16,2016,1/01/2003,4,296,400,WT400,lowland,1,1,0,0,0,0,1,NA,0,0,0,0,0,0,1,2,0,NA,0,1,0,7,2,3,NA,1,0,0,0,NA,0,0,3,0,1,,NA,1,2,0,0,1,3,0,AU400
1255,AU,AU4A,WT,-17.60782846,145.7741659,31-Jan-04,2004,1/01/2001,2,248,200,WT200,lowland,1,1,0,2,3,0,0,NA,0,2,0,1,0,0,0,5,2,NA,0,0,0,4,1,0,NA,0,1,0,0,NA,0,0,3,0,2,3,NA,1,0,1,0,0,2,0,AU200
1256,AU,AU4A,WT,-17.60782846,145.7741659,15-Apr-04,2004,1/01/2001,2,248,200,WT200,lowland,1,1,0,1,3,4,0,NA,1,0,0,0,0,0,2,5,3,NA,0,3,0,2,1,0,NA,1,1,0,0,NA,0,0,0,0,0,0,NA,1,0,0,0,0,1,0,AU200
1257,AU,AU4A,WT,-17.60782846,145.7741659,8-Oct-04,2004,1/01/2001,2,248,200,WT200,lowland,1,1,0,2,2,0,1,NA,2,1,0,2,0,0,0,2,0,NA,0,2,0,4,2,1,NA,2,1,0,0,NA,0,0,1,0,1,3,NA,1,1,2,0,1,2,1,AU200
1258,AU,AU4A,WT,-17.60782846,145.7741659,11-May-05,2005,1/01/2001,2,248,200,WT200,lowland,1,1,0,1,4,0,0,NA,1,2,0,0,2,1,1,9,2,NA,0,1,0,2,1,1,NA,1,0,0,0,NA,0,0,5,0,0,1,NA,2,0,0,0,0,2,0,AU200
1259,AU,AU4A,WT,-17.60782846,145.7741659,13-Nov-05,2005,1/01/2001,2,248,200,WT200,lowland,1,1,0,0,0,0,1,NA,3,1,0,1,0,0,1,2,1,NA,0,1,0,3,2,0,NA,0,0,0,0,NA,0,0,0,0,3,3,NA,0,1,3,1,1,3,0,AU200
1260,AU,AU4A,WT,-17.60782846,145.7741659,29-Apr-06,2006,1/01/2001,2,248,200,WT200,lowland,1,1,0,0,9,0,0,NA,0,4,0,2,0,0,1,1,2,NA,1,4,0,2,0,0,NA,2,3,0,0,NA,0,2,,0,0,2,NA,1,0,0,0,1,1,0,AU200
1261,AU,AU4A,WT,-17.60782846,145.7741659,25-Mar-07,2007,1/01/2001,2,248,200,WT200,lowland,1,1,0,1,4,0,2,NA,3,2,0,2,0,0,0,3,1,NA,0,0,0,5,0,0,NA,2,0,0,0,NA,0,0,2,0,0,6,NA,0,0,0,0,2,5,0,AU200
1262,AU,AU4A,WT,-17.60782846,145.7741659,14-Jun-07,2007,1/01/2001,2,248,200,WT200,lowland,1,1,0,1,3,0,0,NA,0,0,0,1,0,0,1,1,0,NA,0,0,0,1,0,1,NA,0,0,1,0,NA,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,AU200
1263,AU,AU4A,WT,-17.60782846,145.7741659,28-Oct-07,2007,1/01/2001,2,248,200,WT200,lowland,1,1,0,1,3,0,2,NA,0,0,0,0,1,0,0,1,2,NA,0,0,0,4,0,0,NA,2,0,0,0,NA,0,0,3,0,1,2,NA,0,1,2,0,2,0,0,AU200
1264,AU,AU4A,WT,-17.60782846,145.7741659,1-Apr-08,2008,1/01/2002,3,248,200,WT200,lowland,1,1,0,0,0,0,0,NA,0,1,1,0,0,0,0,5,2,NA,0,0,0,3,3,0,NA,2,0,0,0,NA,0,0,0,0,0,4,NA,1,1,0,1,2,3,0,AU200
1265,AU,AU4A,WT,-17.60782846,145.7741659,14-Jun-08,2008,1/01/2002,3,248,200,WT200,lowland,1,1,0,1,1,0,2,NA,0,1,0,2,0,0,1,2,2,NA,0,1,0,1,0,0,NA,1,0,0,0,NA,0,0,1,0,0,3,NA,1,1,1,0,0,4,0,AU200
1266,AU,AU4A,WT,-17.60782846,145.7741659,16-Oct-08,2008,1/01/2002,3,248,200,WT200,lowland,1,1,0,2,0,0,0,NA,0,1,0,1,0,0,0,5,2,NA,0,2,0,4,0,0,NA,1,1,0,1,NA,0,0,4,1,2,1,NA,1,0,1,0,1,1,0,AU200
1267,AU,AU4A,WT,-17.60782846,145.7741659,20-Oct-08,2008,1/01/2002,3,248,200,WT200,lowland,1,1,0,0,11,0,0,NA,1,1,0,1,0,4,2,0,1,NA,0,0,0,2,3,2,NA,0,0,0,0,NA,0,0,3,0,0,3,NA,2,0,1,2,0,0,0,AU200
1268,AU,AU4A,WT,-17.60782846,145.7741659,27-Mar-09,2009,1/01/2002,3,248,200,WT200,lowland,1,1,0,0,1,0,0,NA,0,1,0,0,0,0,0,1,1,NA,0,0,0,2,0,2,NA,0,0,0,1,NA,0,0,0,0,0,1,NA,0,1,0,0,0,3,0,AU200
1269,AU,AU4A,WT,-17.60782846,145.7741659,19-Jun-09,2009,1/01/2002,3,248,200,WT200,lowland,1,1,0,0,1,0,2,NA,0,2,0,0,0,0,1,5,0,NA,0,5,0,4,2,0,NA,0,0,0,0,NA,0,0,0,0,0,2,NA,1,1,2,0,0,3,0,AU200
1270,AU,AU4A,WT,-17.60782846,145.7741659,15-Jun-10,2010,1/01/2002,3,248,200,WT200,lowland,1,1,0,0,0,0,1,NA,0,0,0,3,0,0,1,3,0,NA,0,0,0,6,1,1,NA,2,0,0,0,NA,0,0,2,0,1,2,NA,0,0,0,0,0,4,0,AU200
1271,AU,AU4A,WT,-17.60782846,145.7741659,13-Oct-10,2010,1/01/2002,3,248,200,WT200,lowland,1,1,0,1,1,0,4,NA,0,0,0,0,0,0,0,3,0,NA,0,2,0,3,0,0,NA,0,0,0,0,NA,0,0,0,0,1,1,NA,0,0,0,0,1,3,0,AU200
1272,AU,AU4A,WT,-17.60782846,145.7741659,16-Jan-12,2012,1/01/2003,4,248,200,WT200,lowland,1,1,0,0,0,0,0,NA,0,1,0,1,0,0,0,4,0,NA,0,1,0,4,4,0,NA,2,0,0,0,NA,0,0,2,0,1,3,NA,0,1,0,0,1,6,0,AU200
1273,AU,AU4A,WT,-17.60782846,145.7741659,7-Aug-12,2012,1/01/2003,4,248,200,WT200,lowland,1,1,0,0,0,0,0,NA,1,0,0,4,0,0,2,2,0,NA,0,0,0,4,0,0,NA,0,1,0,0,NA,0,0,5,0,0,1,NA,1,2,0,0,0,3,0,AU200
1274,AU,AU4A,WT,-17.60771377,145.7717071,30-Jan-04,2004,1/01/2001,2,228,200,WT200,lowland,1,1,0,1,5,0,0,NA,5,0,0,4,0,0,0,4,3,NA,0,0,0,3,2,0,NA,1,0,0,0,NA,0,0,3,0,3,1,NA,1,0,1,0,1,5,0,AU200
1275,AU,AU4A,WT,-17.60771377,145.7717071,15-Apr-04,2004,1/01/2001,2,228,200,WT200,lowland,1,1,0,0,6,0,0,NA,0,1,0,1,1,0,0,5,3,NA,1,0,0,3,3,1,NA,0,2,0,1,NA,0,0,1,0,0,2,NA,2,0,0,0,2,3,0,AU200
1276,AU,AU4A,WT,-17.60771377,145.7717071,8-Jul-04,2004,1/01/2001,2,228,200,WT200,lowland,1,1,0,0,5,0,3,NA,4,4,0,1,0,0,0,4,1,NA,0,0,0,1,0,1,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,1,0,1,3,0,AU200
1277,AU,AU4A,WT,-17.60771377,145.7717071,8-Oct-04,2004,1/01/2001,2,228,200,WT200,lowland,1,1,0,0,5,0,2,NA,2,1,0,1,0,0,0,5,2,NA,2,4,0,4,0,1,NA,1,0,0,0,NA,0,0,0,0,2,2,NA,2,0,3,0,0,3,0,AU200
1278,AU,AU4A,WT,-17.60771377,145.7717071,5-Feb-05,2005,1/01/2001,2,228,200,WT200,lowland,1,1,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,1,0,1,0,NA,0,0,0,0,0,0,0,AU200
1279,AU,AU4A,WT,-17.60771377,145.7717071,11-May-05,2005,1/01/2001,2,228,200,WT200,lowland,1,1,0,0,3,1,0,NA,1,2,0,0,0,0,0,3,3,NA,0,0,0,1,2,0,NA,1,0,0,0,NA,0,0,1,0,0,1,NA,1,0,2,0,0,2,0,AU200
1280,AU,AU4A,WT,-17.60771377,145.7717071,13-Nov-05,2005,1/01/2001,2,228,200,WT200,lowland,1,1,2,1,1,0,3,NA,1,1,0,1,0,1,0,3,0,NA,0,0,0,3,5,0,NA,1,0,0,0,NA,0,0,0,0,2,4,NA,3,0,1,2,1,2,0,AU200
1281,AU,AU4A,WT,-17.60771377,145.7717071,29-Apr-06,2006,1/01/2001,2,228,200,WT200,lowland,1,1,0,3,9,0,0,NA,0,3,0,0,0,0,0,1,2,NA,1,5,0,1,1,0,NA,1,1,0,0,NA,0,0,,0,0,3,NA,1,1,0,1,1,1,0,AU200
1282,AU,AU4A,WT,-17.60771377,145.7717071,25-Mar-07,2007,1/01/2001,2,228,200,WT200,lowland,1,1,1,1,8,0,0,NA,1,3,0,0,0,0,0,6,4,NA,0,0,0,4,2,0,NA,1,2,0,0,NA,0,0,1,0,0,6,NA,2,0,0,0,1,3,0,AU200
1283,AU,AU4A,WT,-17.60771377,145.7717071,16-Jun-07,2007,1/01/2001,2,228,200,WT200,lowland,1,1,1,0,3,0,0,NA,1,2,0,3,0,0,0,4,1,NA,0,2,0,2,0,1,NA,0,1,1,1,NA,0,0,1,0,0,3,NA,0,0,0,0,3,1,0,AU200
1284,AU,AU4A,WT,-17.60771377,145.7717071,26-Oct-07,2007,1/01/2001,2,228,200,WT200,lowland,1,1,0,2,4,0,0,NA,0,0,0,2,0,0,0,1,2,NA,0,0,0,3,0,0,NA,0,0,0,7,NA,0,0,1,0,0,0,NA,1,0,1,0,0,0,0,AU200
1285,AU,AU4A,WT,-17.60771377,145.7717071,1-Apr-08,2008,1/01/2002,3,228,200,WT200,lowland,1,1,0,0,10,0,0,NA,0,3,1,2,0,0,1,5,0,NA,0,0,0,8,3,0,NA,2,0,0,0,NA,0,0,1,0,0,5,NA,1,0,2,0,2,3,0,AU200
1286,AU,AU4A,WT,-17.60771377,145.7717071,14-Jun-08,2008,1/01/2002,3,228,200,WT200,lowland,1,1,0,0,6,0,0,NA,1,2,0,4,0,0,0,7,1,NA,2,0,0,5,3,0,NA,3,0,1,0,NA,0,0,2,0,1,3,NA,3,1,2,0,0,5,0,AU200
1287,AU,AU4A,WT,-17.60771377,145.7717071,16-Oct-08,2008,1/01/2002,3,228,200,WT200,lowland,1,1,0,5,1,0,0,NA,0,0,0,2,0,0,0,2,1,NA,0,1,0,5,1,2,NA,2,0,0,1,NA,0,0,0,0,1,3,NA,1,1,0,0,1,1,0,AU200
1288,AU,AU4A,WT,-17.60771377,145.7717071,27-Mar-09,2009,1/01/2002,3,228,200,WT200,lowland,1,1,2,0,2,0,2,NA,0,4,0,3,0,0,0,1,0,NA,0,4,0,4,2,2,NA,0,3,0,0,NA,0,0,0,0,0,3,NA,0,2,1,0,0,5,0,AU200
1289,AU,AU4A,WT,-17.60771377,145.7717071,19-Jun-09,2009,1/01/2002,3,228,200,WT200,lowland,1,1,0,0,2,0,0,NA,1,1,0,2,0,0,1,2,1,NA,0,0,0,2,1,1,NA,0,1,0,0,NA,0,0,3,0,0,0,NA,1,0,2,0,0,5,0,AU200
1290,AU,AU4A,WT,-17.60771377,145.7717071,15-Jun-10,2010,1/01/2002,3,228,200,WT200,lowland,1,1,0,0,4,1,3,NA,0,1,0,3,0,0,0,6,2,NA,2,0,0,8,0,1,NA,3,1,0,0,NA,0,0,0,0,1,2,NA,3,0,2,0,0,4,0,AU200
1291,AU,AU4A,WT,-17.60771377,145.7717071,13-Oct-10,2010,1/01/2002,3,228,200,WT200,lowland,1,1,1,1,1,0,1,NA,0,2,0,0,0,0,1,2,0,NA,0,5,0,4,1,1,NA,0,0,0,0,NA,0,0,0,0,1,3,NA,0,0,0,0,0,2,0,AU200
1292,AU,AU4A,WT,-17.60771377,145.7717071,16-Jan-12,2012,1/01/2003,4,228,200,WT200,lowland,1,1,0,0,0,0,0,NA,0,1,3,3,0,0,0,3,1,NA,1,1,0,1,2,0,NA,0,0,0,0,NA,1,0,1,0,4,4,NA,1,0,1,0,0,3,2,AU200
1293,AU,AU4A,WT,-17.60771377,145.7717071,6-Aug-12,2012,1/01/2003,4,228,200,WT200,lowland,1,1,1,0,3,1,0,NA,0,2,0,3,0,0,0,4,2,NA,0,2,0,1,0,0,NA,0,0,0,0,NA,0,0,2,0,1,2,NA,1,4,1,0,0,6,0,AU200
1294,AU,AU4A,WT,-17.60771377,145.7717071,11-Mar-13,2013,1/01/2003,4,228,200,WT200,lowland,1,1,0,0,0,0,1,NA,0,2,0,2,0,0,0,3,0,NA,0,0,0,2,3,1,NA,0,1,0,0,NA,0,0,3,0,0,3,NA,1,0,1,0,1,6,0,AU200
1295,AU,AU4A,WT,-17.60771377,145.7717071,10-Jun-14,2014,1/01/2003,4,228,200,WT200,lowland,1,1,0,2,0,0,0,NA,0,1,0,1,0,0,0,1,0,NA,0,1,0,2,1,1,NA,1,0,0,0,NA,0,0,0,0,0,0,NA,0,5,0,0,0,4,0,AU200
1296,AU,AU4A,WT,-17.60771377,145.7717071,23-Feb-16,2016,1/01/2003,4,228,200,WT200,lowland,1,1,0,0,0,0,0,NA,3,2,0,2,0,0,0,1,0,NA,0,1,0,2,2,0,NA,0,0,0,0,NA,0,0,1,0,0,,NA,2,0,0,0,0,3,0,AU200
933,AU,AU600,WT,-17.67442783,145.6556975,5-Nov-03,2003,1/01/2000,1,621,600,WT600,midland,1,1,0,0,2,0,0,5,2,0,0,2,0,2,1,0,1,0,1,8,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,,0,0,2,0,0,0,0,AU600
